X0,X1,X2,X3,X4,X5,X6,Y
1.0,61.27299817168807,-81.30253939639925,-0.6288819700358775,-38.57236221866953,-34.0097394579382,86.41333497257385,-142.27341236384078
1.0,-587.4233834763745,-82.22693940603736,0.005018606413359494,-40.46114989373297,-34.106588870435935,87.07142266869943,-51.73839696317453
1.0,-390.01038687368975,-83.59749712919977,-2.217178382547398,-38.4921734793902,-34.111996237327595,87.05340936375599,-80.4295370440399
1.0,-656.1225524492838,-83.5432677719217,2.26164890309435,-38.211257204803466,-34.137280571521394,86.68810805187073,-37.66375300080573
1.0,-805.4813978448716,-83.55584657074569,-0.8156288683748694,-40.19348183033029,-34.02672083330204,88.72966862586946,-24.47028322231007
1.0,-522.0811364573469,-80.65747017521458,1.8228206743610382,-38.041277830949824,-34.09157689841277,87.49587539592177,-59.79315394774987
1.0,-783.842653999416,-84.05623928426432,-1.6312118367800932,-38.98660061657896,-33.85625207691726,86.84733972323737,-20.911884987282427
1.0,-178.33287602997598,-82.96917675566405,0.3537454046367785,-41.03386251709041,-33.96980343166072,86.29917933821024,-115.79297188361843
1.0,-12.50781090293151,-82.84548432758511,-2.826256815372785,-39.15904551137242,-33.87113662698167,86.75820385609661,-138.34692432788117
1.0,-734.0186283654433,-82.64700894880923,-2.309812699991129,-39.364534858513956,-33.975559529534856,85.57524949497733,-31.833413448371953
1.0,-266.757052169119,-81.13343574107923,-4.567003715573191,-38.66695110842692,-33.98404203638228,85.85675688854646,-96.91217030567418
1.0,-651.1033165724008,-82.15266240731248,-1.304715388488021,-42.56360586239229,-33.96052110689378,87.55331123724665,-48.54144165469686
1.0,-249.33009431885034,-84.5755851825123,-2.1587123986071814,-38.79739630427763,-33.93712776102829,86.79688713575571,-96.69179613518376
1.0,-539.1831253386231,-82.58862408522404,-1.6466363309592196,-39.59926433250446,-34.03173771667878,88.65898353623204,-60.7879419859522
1.0,-508.5838881397453,-84.96633416846647,-4.873416356372044,-39.86821934493218,-34.16150876176565,86.6669864498384,-64.90408266202068
1.0,-789.1969977564559,-83.25197902600941,0.49199397041674486,-38.136864441836494,-33.945459082793334,85.9724019389093,-19.091570421670838
1.0,-253.63310140227657,-82.72152301585946,-2.7152521436709436,-38.37343040719418,-34.131138365027056,87.64269230634508,-97.72550063084793
1.0,-428.5419209203074,-82.55508467807206,-1.7914886126481824,-40.56262865106955,-33.96640355392858,86.81536143883483,-77.65093130483574
1.0,-264.65141691537485,-86.73145505930886,0.05498707851412332,-38.723795170199615,-33.97504609672323,86.13672643750606,-100.19719107218893
1.0,209.44195743876526,-84.47721083239126,-1.5177602925298097,-39.44686876213273,-34.07585906152468,85.67244324151403,-167.16862693417818
1.0,-839.8385617628868,-83.48783914284225,-2.885623647456972,-38.359960665155135,-33.98779096857073,84.84785082975719,-15.8939585395128
1.0,202.51442027916687,-83.3336410381873,-2.739008294029582,-38.16999466530471,-34.258101603764835,85.32385305716599,-163.88752887260668
1.0,172.69877947210057,-83.03937868718454,-4.151225248979911,-39.01437267453336,-34.09839383292417,87.89317536958553,-163.22476567524197
1.0,-571.8010327293943,-81.93096645386132,-0.6786327073774544,-38.939487968483675,-34.010649338423605,87.09595819804683,-56.764978554645616
1.0,-487.7763700171116,-84.90873074478996,-0.4237584983187451,-39.15642673654197,-34.11852556387656,88.15330359659224,-70.11048487490955
1.0,266.28721544093514,-82.51211816679398,-0.9279926736300308,-39.01921204244596,-33.99168096235421,88.238227059877,-179.11498590242405
1.0,-787.2944815678455,-81.28320055542969,-1.0382529995133285,-40.274737527225206,-33.83588372898453,87.06375102945476,-25.294603469238307
1.0,252.29472394396134,-81.87675186770814,0.733211336107823,-37.17273940846369,-33.99626323779082,86.92503845198637,-168.3152022140736
1.0,-538.7176259729756,-86.86708730225895,-3.0426823698207377,-37.926747983289125,-34.11936182395563,88.2033770739305,-58.57842345802573
1.0,-469.6197123779818,-84.91517893740598,-2.1121481636987114,-37.96202030407876,-33.92722468666913,87.9013667215006,-64.63044563347266
1.0,55.0920862035789,-79.98468150881727,-2.850491310926051,-40.556465555025554,-33.955832633457916,89.11591274908452,-144.6588963610295
1.0,1.749795015432369,-81.58446079898224,1.1169706131451584,-38.38069573719825,-33.95568560019256,85.31768661066572,-130.3774767212735
1.0,101.10974811364372,-81.67246989834788,2.695489892745132,-38.05991240515602,-34.03707807943102,86.75657776022383,-148.2901088238433
1.0,168.49677198052973,-83.78277711284498,-1.280876613375067,-37.74312900184405,-34.03334569551518,85.8890239816457,-157.23105165457488
1.0,259.9370461190913,-86.85579122364331,-5.355088568804432,-42.01552283544941,-34.01809216089641,87.36776150677582,-181.3142835681353
1.0,-591.2150471354059,-84.12506257037029,-4.010003101561456,-38.79849000176305,-33.90699657284156,86.22272360302959,-55.06150920039182
1.0,-717.0069795499772,-81.92183360323045,-2.6944676467206303,-38.70622409343251,-34.16174868546973,88.60026631177901,-35.75384487168132
1.0,185.37454122952454,-81.13566276931775,-3.230425390455407,-39.274917001864075,-34.005325742968594,90.76750019083543,-161.46111417643075
1.0,-575.5377449715735,-79.8494660347484,1.1066207042121365,-40.01750059958717,-33.98703005992582,86.82992179661032,-56.35647537109429
1.0,-92.52930402811842,-84.76237494313989,-1.994587050181934,-37.51630069593294,-33.9286188751513,87.80107161895911,-120.65379771740972
1.0,-227.3285351187984,-82.2540848070178,-2.6400285991097014,-37.645709594005716,-33.98047422563639,87.57363374438506,-102.03782040896654
