X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y
1.0,6.044630639296582,-598.6454636035583,599.7662430131232,454.3442612017726,-56.17759705307756,71.0,-261.9555433624902,499.66569309813826,197.0169917183241,623.9506899323653,-382.2893267255106
1.0,5.981141397800264,-217.0258423470607,235.8005913029665,-141.57110584777854,-56.61844452999458,71.0,785.4331730370013,200.38734438034544,396.67356614173207,826.0022447371828,1861.0476761631692
1.0,5.979991071077575,-44.88233252950124,-129.22098454760942,-251.92821380740457,-56.64638307816851,71.0,344.62169986635695,-372.31655836699736,-275.17810307752393,597.2454740082693,550.4839639403936
1.0,5.975353664212912,-647.0507619185805,405.14690022174136,-79.93818825555542,-57.78053453140607,71.0,343.51342887470423,157.1347277231065,511.903755816247,713.3508943364434,1116.4982830610243
1.0,5.986424963893196,-150.0128522811233,808.3047749590535,73.35660490357793,-54.61141921945594,71.0,-517.2553857212029,34.44406746800291,707.1562377205237,668.7020791089845,-838.9689881736775
1.0,6.006443405051501,-481.10601013022176,204.16881813980393,303.98375740185713,-56.624255542738396,71.0,75.62342618037871,411.6467658242809,-110.48281344367024,691.7404600381931,216.55445580859663
1.0,6.077519387182824,261.84293510136945,292.78859081815256,448.49063754986776,-55.840970711458944,71.0,-76.34926906383771,23.479057030114518,861.1973014109135,590.4509977336286,446.45757633784854
1.0,6.031160474447939,673.8318458167266,157.2381172610651,529.786678606353,-56.24576943207918,71.0,394.0676433919666,-497.3890522142573,687.6462687450544,744.2859675613729,1265.1417698884397
1.0,6.016519842102682,-633.9933768655949,167.73625787322055,260.2093989941553,-56.92027526738241,71.0,137.21100230849527,-361.5757068641645,-4.9085602530643655,620.8418219909221,535.9168074601921
1.0,5.988464663050993,-477.95676616909765,655.3416181825326,-253.9222938871558,-56.97758892636324,71.0,-632.3656468293769,556.8743343500637,747.502845241275,702.4496063887889,-958.3744002859074
1.0,5.9448695919003365,-480.28567299108147,317.6394181703697,474.4493426319484,-56.18201900972214,71.0,-171.07977683169372,-316.670956050002,-76.1599782939424,640.5327725096134,-228.67009078970995
1.0,6.008913152514771,-272.3858710484478,98.32204031808024,250.51945229570288,-57.93420792962695,71.0,-81.33821904768922,-515.1854910468171,437.4539982967883,613.3677025720426,385.76483468862307
1.0,6.050796148343362,-666.6092115175763,-74.82818384423038,-166.60240588162068,-57.876156415412524,71.0,64.22967972298602,94.97631067046314,873.8962180106996,631.7545759308798,1124.2151377457437
1.0,6.008807885716315,696.1023522160058,280.68868449648835,493.5552709142389,-53.46946205930341,71.0,-330.2754291280017,-429.04261820884136,467.6745240860829,698.1617916056327,-485.7578580571427
