X0,X1,X2,X3,X4,X5,X6,Y
1.0,101.46638132081875,-60.776983033406765,62.4122608691708,-418.92090883497326,72.88736202263814,-20.86927641572005,114.19976525236157
1.0,497.3783298738076,-60.647615429283626,62.980853477347054,-490.88595713036364,95.63273168232175,-20.628791485060738,-105.57920846790886
1.0,249.40212471572136,-61.77685371659293,63.39905825574151,-478.57175180613245,6.636314851832079,-20.850622211602076,36.153973341752746
1.0,482.5985152413889,-61.22060414461463,64.31540585211233,-418.2417476809646,77.79518740441607,-20.616567607012332,-113.05289121822267
1.0,712.5274680089867,-61.2857378512529,61.60992453482634,-457.6364264855754,98.27002583745598,-21.086365778425368,-232.35247900317214
1.0,-561.8863212502596,-61.36836947710325,64.33087943428275,-410.2453789309643,23.304941876367366,-20.809324404268594,491.06137367180304
1.0,178.43950660889595,-60.723370009577955,62.50895880507296,-482.8895762994678,65.51821051369816,-21.05806731233344,83.50896622762698
1.0,-703.1992133988313,-61.12013199791575,62.91985692351583,-395.4073036763109,8.774110687531657,-20.989506456093963,572.6157917400747
1.0,-795.9162377356294,-61.221432916344895,66.24583803357335,-439.0737550387931,-11.524581994556792,-20.87604802261473,628.8249024995978
1.0,114.89745028091625,-61.33123389847081,65.68574829212653,-413.1917502293023,49.399224904833005,-21.740216217083685,101.86877444411473
1.0,381.3757265881636,-61.34127041602204,61.21523309303574,-404.28558630193413,37.72338942888457,-21.137719420004547,-55.96557782160145
1.0,31.591021233823085,-60.39019520048443,64.41263718241788,-431.5348852004136,-7.1919844743264765,-21.25184579028278,147.34215426255733
1.0,712.4267054705156,-61.11742120159212,61.97879802858622,-402.91086207837884,-15.317878409622598,-20.92103884999831,-251.62880220275244
1.0,483.63598437513565,-61.116804111702045,64.82493492865044,-456.44870381395134,23.798261048502155,-20.878065865591775,-104.93969969555181
1.0,524.7247500892952,-61.13704066138838,61.758844447088485,-490.76939563579936,-12.290129968238741,-20.676315251869056,-119.5947315327458
1.0,-22.612971647233962,-61.08194704423123,63.08531853387833,-437.77623868861264,-18.13515356157801,-21.30679685331453,173.99152014303212
1.0,-29.066711427780547,-61.205058249210545,60.41012241482918,-404.2337760315205,94.63483015907136,-21.055104318340575,190.05905234510587
1.0,-143.8490409978068,-60.74673808236129,60.85296237810992,-418.72183078215306,41.53959877889205,-21.25478308400941,254.27177945413166
1.0,-358.0958636817858,-60.66888104544723,62.540499616933666,-493.06929087043153,31.020940642876006,-20.686734046316417,391.25496135324846
1.0,153.669831006526,-62.125908601325555,64.43659884963719,-450.3366137547415,85.54281475540039,-21.1388462422673,87.40980068828846
1.0,599.0088737356523,-61.67055600544032,64.11266864525687,-441.253454880269,32.030452434599766,-21.19305332583363,-172.62339345041917
1.0,373.8368423614709,-61.38934439417556,62.082949354787445,-468.46922584047866,9.610948113620513,-20.989923040184234,-38.45623519949766
