X0,X1,X2,X3,X4,X5,X6,X7,Y
1.0,-66.481615894544,318.97457419563585,-168.724794350377,-74.34221026733043,-595.1637542715804,64.47669202034173,-89.07205960400049,492.79927019418915
1.0,-66.9196224232754,287.4643396710575,-402.686810131769,-74.90915126320166,-239.38502240498912,63.83588438946362,-87.9272522641727,1090.1616747467945
1.0,-66.33320419591769,335.8508272911962,322.0295227351213,-75.76190877338776,-373.48081651426895,67.02143883508623,-81.57841739757703,-869.3996341552079
1.0,-67.08266762107742,291.3394507490424,-386.24149563086416,-74.03975834619463,-273.85817339154187,63.854574577978894,-85.69555301490645,1047.6220142144562
1.0,-66.6957242156507,238.98562921466757,46.57954078183093,-74.88148011701232,-619.7142513935217,64.62657950298318,-90.84724817355435,-22.229453230826454
1.0,-67.30051385838239,220.98583124316224,518.6361037549871,-77.38125087540381,-344.5005331547733,65.58457319675571,-84.74353648553995,-1306.701415309266
1.0,-66.74494448696491,235.97254272049187,-223.0812372487996,-76.39231270238983,-317.57002269393126,65.31728436456702,-87.29297956137327,658.7024895283912
1.0,-66.82543926182649,349.14217665057674,507.4152153403245,-73.12945612938775,-483.25287154893016,64.30965850703171,-84.47761737060131,-1356.8933975852726
1.0,-67.66628385675618,303.8339139773899,251.91082721817634,-73.99583844024473,-411.6702942983394,64.63378498913825,-84.55199246313775,-651.2877115641326
1.0,-66.59763866627628,235.89805359039835,348.95885697033475,-73.52022846283295,-491.68085901721315,65.78021799093034,-84.94158277507425,-852.3031756638989
1.0,-66.81586538847455,246.80877580916993,127.81746715939005,-75.00930582026062,-323.86147849770305,66.04772267792009,-88.54270396232101,-286.8176877011091
1.0,-67.70547905782261,349.7821536846953,184.41769571920315,-75.27363405559052,-290.1151852496038,64.80077937640766,-87.66931078904778,-514.031404180101
1.0,-67.08675730147249,386.65491045579165,-350.62836983727016,-76.02117151186819,-367.2501793940453,66.11429413033518,-84.82299819345369,900.1654423247231
1.0,-66.84072556064977,281.53980439618863,266.4942785189454,-75.12458704616398,-590.5499607585529,64.87254479554323,-82.13499259744479,-650.1044144377977
1.0,-66.77037414870875,242.73317602647495,-427.41956269825454,-76.93416370759806,-330.0169302420025,65.2934999226812,-85.79227685583075,1200.4832977504288
1.0,-66.59887736348584,277.0096011127703,314.44374277954387,-74.02322136677229,-217.88498439836314,64.36461710815388,-84.43829478185413,-826.4463106988018
1.0,-67.64459472916366,372.3095400281709,-473.161486202826,-73.29391442612767,-325.6629795209484,64.41484376764002,-85.29411564689616,1234.8254525302327
1.0,-67.28946990886352,306.9183003055693,-51.0362370113798,-76.26938320626826,-627.9452289061429,64.07697370363849,-88.31915615782918,191.94649885983122
1.0,-67.29074774707873,342.22835808570613,361.8027554248423,-73.22649459977715,-541.7198088206434,64.1873162350169,-86.87018072660373,-949.7276360122312
1.0,-66.47127413704042,293.52918057675004,-372.4004784737164,-77.30026663735946,-331.5983487972314,64.11941914729393,-86.71233317583052,1011.5234110426267
1.0,-67.09595893403288,289.13669116044935,443.4047432016944,-73.62614187427386,-483.83146443791077,65.93913333406788,-83.2522371122349,-1140.7339650084775
1.0,-67.09186594815638,274.04183595228807,-337.68898042435785,-75.49987597865669,-469.26750991826725,65.8662760427092,-86.32220563731858,957.0447769990068
1.0,-67.11258428767214,253.77700225130232,378.02450577142713,-70.2228196316415,-462.3357705992115,64.952196121847,-86.28689951933688,-937.1264656932821
1.0,-66.92509827162321,354.34222859089493,186.44678575815988,-73.90413035730283,-440.80258272593915,64.7141600934728,-89.13725922214857,-497.63348206547397
1.0,-67.51412352096763,279.34358371827216,38.92002782722034,-76.77522629692086,-305.9262309265096,64.58262717246375,-88.25011913300392,-79.32145686700693
1.0,-67.43203019765673,308.85319233059954,-82.2740340846646,-75.06608546223782,-526.55567202968,66.10964006513869,-89.31932359700114,262.31592752089256
1.0,-67.21362456648305,331.5696263894085,-476.04546817898853,-75.20926453828554,-273.3484302499987,65.4484475707315,-86.11658417465168,1255.7874561303313
1.0,-66.6467833577989,377.16516623089996,307.08016610423897,-72.40965656792947,-528.2192341281436,64.80167560142228,-88.08896022783647,-830.1538359092699
1.0,-67.09612925752184,322.20444350840444,7.927791724390431,-77.83748988730373,-216.86852827657293,64.17148517304865,-83.64785553971109,-34.25310198420616
1.0,-67.02682986739393,236.06104353576248,49.34908240005575,-76.12569198004043,-225.8143901555186,64.8441369195076,-88.03537647222895,-78.98742299729089
1.0,-66.6949575552562,312.49087096204244,-453.6674671423439,-74.65035886374619,-410.0622881565273,64.53245424834516,-89.67401996825764,1238.811751318285
1.0,-66.23615833819571,320.95360876388906,181.15206528222177,-74.75538384863856,-638.3867107211394,63.21282939498574,-84.91750765069341,-442.48860438370116
1.0,-68.0352233920902,348.6572957496355,425.33616481105275,-72.49867313680942,-226.20169225736527,66.4837191715318,-86.12434620746548,-1167.3861594383714
1.0,-67.81950371789938,374.1941294579409,-451.3108808983954,-73.96471885506108,-262.52525795416886,63.96686472140419,-82.09399939248463,1160.524923944976
1.0,-66.62864921049585,273.26105930058367,-47.20881659972315,-75.74975576149508,-592.1414142677446,65.18257282251584,-85.53597544803074,195.24514680837973
1.0,-66.4827828517098,373.67778185345935,-279.97287334226894,-75.38895755151393,-555.4480204377767,64.34688467693087,-81.85581991639563,735.9451790077735
