X0,X1,X2,X3,X4,X5,Y
1.0,305.22336580800595,4.239637484816563,-219.64812842946355,29.63632290267273,-43.94120616937909,276.15916055865017
1.0,615.6135911514523,3.2918717446218784,-230.39608172808994,29.07343248161832,-53.3291651246971,212.95260772171846
1.0,701.9129299035037,0.8386632783784895,-221.81373807116677,26.719696647815006,-44.16125125018537,172.25259369287292
1.0,599.42908274245,4.75272366702898,-243.48212413808366,30.548187286013484,-45.22327395272872,234.56100471895783
1.0,707.5389261345958,3.6199342546781246,-267.4873184626719,34.22192936405226,-48.40724974805199,247.67382698257524
1.0,473.39400476599934,3.6950593052090963,-184.7720083797938,32.33462890033098,-51.408032255116325,176.9289122968647
1.0,345.4723541126392,1.722278066916926,-231.26152781476065,28.126715527888273,-50.00984278471823,290.7721165706867
1.0,789.2071224400415,6.512878067623991,-202.14446783756904,29.310521609549756,-45.11110428424168,118.54020062401885
1.0,671.4493653296666,3.304976309392276,-200.71605558081887,29.825115016630246,-45.54066655127697,147.50697105538174
1.0,640.6990986896783,4.152895143516639,-265.88425180489753,31.1104061191402,-51.72726375447471,261.5384266964095
1.0,650.003839319422,5.160394328412001,-191.55736733940802,27.13674119971771,-43.06385157730151,134.97013880239405
1.0,635.8250923775634,1.9325771705371255,-260.1115927721377,31.377790941989605,-48.68414419064533,253.8680907872051
1.0,478.9150914293677,3.594564599696416,-183.4729616996648,29.475852139846857,-52.423517989135334,174.48370962853517
1.0,608.5206641001321,1.000228382773885,-184.8247772362617,34.18220405432891,-46.751614910207465,141.86081208371553
1.0,668.5210744020233,1.6342834771808228,-255.6696512712852,25.951735531968186,-47.12945718086522,234.4326592433393
1.0,543.7092628542468,3.672279919876546,-270.71308397928175,28.82824281783936,-45.653919983036886,295.8470674209509
1.0,873.3290630551056,5.073443528733754,-206.03336067065584,32.59207473286044,-46.88075814886997,97.25991940864064
1.0,384.93390308736423,5.212103556691121,-258.40781084486645,32.38385688332196,-50.08872420445937,321.54927050306856
1.0,662.6696566446155,5.433558960072283,-202.30498895969455,28.99862246877636,-48.45965662912214,155.42940241047478
1.0,869.428922019937,5.115277421505863,-262.57092329749423,33.971268966225644,-51.45636205491156,191.9642546257201
1.0,598.5346553956608,2.9218630709985547,-226.92171012062352,28.077752843153917,-49.453879677581824,208.93597314175315
1.0,654.9981769698188,1.5044901563111197,-209.56375315117393,27.632567764804513,-49.49713699200175,167.51467829183557
1.0,858.3506659667348,1.1367839674155178,-255.68040538266925,30.325873665494925,-50.26924310496804,187.64993816272508
1.0,868.462882895896,3.5644023427554234,-196.6925505639412,33.0276740055749,-50.28509603297311,84.33278279332453
1.0,856.9654768033547,4.79613495913593,-265.0956652420061,28.679420507299383,-47.370369941544475,200.385794651832
1.0,717.7086287148937,4.715896922364837,-241.9842493083935,30.01086891657861,-44.052286430232535,199.5586227933297
1.0,313.55484431278137,2.5450745225934415,-237.01051283666567,28.019483805367365,-51.3171216534993,307.80670537436515
1.0,868.6263224653071,3.8025037773887886,-227.82934950859791,33.27501058276886,-50.52199982328561,133.37943365457429
1.0,308.53921605505366,3.37485766728213,-265.22512280325356,32.00924795445943,-46.9702274822709,352.5257185760701
1.0,363.55372647189915,4.7100762052373675,-191.21573154991853,27.0122374934236,-40.986484741173186,217.83111507500166
1.0,873.4681468358956,5.966651006096239,-262.4469931577569,27.210638099007998,-46.56210260598019,184.60637388048272
1.0,834.2846279501933,3.883490106607447,-185.26461995410705,26.836032327552534,-46.75524917082363,71.2720993689995
1.0,806.0205551707963,3.65824397177622,-217.14370998980368,26.833344794902963,-49.11745452117574,134.71858637556096
1.0,677.1533339049776,4.209641319071618,-202.432501207448,30.118050626082997,-50.92157039935698,148.47187220780805
1.0,860.5263168950922,5.907234862492798,-200.79685950342827,30.245589606964927,-51.71936106249212,94.80791328025899
1.0,705.1837840488047,3.903831474920668,-234.48165192281192,30.004424378193445,-46.837273283690784,192.69683782526212
1.0,787.739576555622,3.558218636083728,-229.31370180274516,26.554349178887136,-40.73390326435187,151.75249631140403
1.0,828.8441744622116,5.618321091723581,-262.3811427463455,29.814494870524495,-45.68847359415964,199.83322862591714
1.0,795.9959908880332,1.718434047971353,-205.6326528549303,30.158185562580947,-49.63520815791801,121.28910869152678
1.0,706.1170213802627,1.7243593909532957,-246.44922508797157,29.592254470276586,-45.06742582985376,216.08976921617088
1.0,699.7457381704493,2.3245158432329234,-188.3495336075078,27.72756841275129,-46.42259442708139,123.36927972449504
1.0,422.9176505734004,4.428759932528787,-212.86560039240072,29.805716039473502,-46.463544947538374,232.70524883965192
1.0,490.7362636330206,2.6332474911157684,-237.2230636197231,32.781772519299686,-50.780408630191616,262.1398718742135
1.0,323.47887955543735,4.543262730615426,-194.66846754992213,26.509532746793077,-52.82491435031842,236.62316987419672
1.0,548.8841356782824,4.020295002411969,-237.62265737969614,27.465926502982374,-49.75380578775369,243.07012427910615
1.0,542.4277383514493,5.725502404781036,-245.44843005504487,26.080620395961645,-45.00636166293158,251.18305348184953
1.0,482.6014671568791,2.131207381439653,-240.08762082988213,27.714857521987334,-46.549439874938756,256.1335905481876
1.0,834.5114015798221,4.598673452137517,-201.1724143879595,34.00683777361171,-48.94664864132175,101.6905778691226
1.0,555.1095292464103,0.9174837674675209,-205.9835657918166,31.527061944932015,-48.78084528578745,187.98047241048937
1.0,581.691891278788,4.274940646633696,-186.44863993652854,30.612647216138345,-47.58672538148348,152.849873330358
1.0,794.370844126448,2.607911512254265,-195.8857567391609,29.59318505607838,-49.45714032364684,103.92045503903053
1.0,630.3177660275281,3.289089288226282,-246.28809709733514,26.249798166397017,-49.13400436850817,232.985591447205
1.0,375.8743772206198,4.593393699527475,-251.14344119859348,33.13012073169436,-45.57592595035467,310.1546768318856
