X0,X1,X2,X3,X4,X5,X6,X7,X8,Y
1.0,-25.683939015408452,574.765528425557,-48.91396691257183,65.13823617765934,45.47917672227574,-593.0738050809553,829.2924609118343,-49.81521935090767,-817.4362565174717
1.0,-24.941865842165758,591.2331634729072,-48.38373584311192,-717.8128240503225,44.44358908562563,-331.86162722903356,174.34182666700656,-51.2703915539157,-372.81449361488063
1.0,-20.19407560180045,600.3930548428301,-46.66536703160931,-264.4873958981111,40.62255146337118,-360.49937288378777,558.7194125986497,-50.84722545369594,-723.7142980238258
1.0,-22.396766973424647,576.3156947702074,-48.07218405417908,13.10684596575652,41.775616837561174,-497.2418058740371,526.1095267357663,-50.254022067038214,-429.0584222896886
1.0,-24.738614866188883,579.2541608761472,-47.912835020814676,-251.08496752808946,43.48266790668544,-431.8040503968185,-25.718946084501738,-49.867153495435566,271.9524739971972
1.0,-20.152760989894567,605.5644672131698,-47.57905203872998,-586.5921654424042,40.609746125065705,-317.38212363268633,838.6817502132058,-50.259533297870085,-1383.0382631053035
1.0,-21.63376990741333,573.2077864607465,-48.284566422678175,-529.297607649768,46.06127434672999,-208.15660886880528,855.2364263773138,-49.61618021876243,-1435.3538108579876
1.0,-23.565542636005308,596.6913004151847,-47.431094759583026,-462.3495811725129,46.95666768055849,-467.6836201016524,-127.58511047874154,-50.01152968288613,337.0412153360992
1.0,-25.66599173626347,599.5177664528236,-48.69860642909831,-723.2201694970436,57.642342127944076,-621.67061692337,89.21513868644149,-49.831241605771126,-47.53660724523493
1.0,-17.814335271817114,580.9515419653725,-48.892716811180605,-825.3280700405536,55.989857302471535,-410.3452447986062,821.6098527320694,-50.188856537100605,-1420.4880237862171
1.0,-16.6226090992636,597.6388449540798,-46.543668653054375,-718.4512472286265,39.58287880773104,-627.8256332516969,-276.5399249105178,-49.5070826560726,514.0040561251251
1.0,-19.60032761840985,589.6785142339403,-48.55169810607268,-533.2351792236445,39.31329787065852,-203.19741658380752,565.8209727900677,-50.8025431088005,-987.8931899325916
1.0,-22.4253912279374,571.7712912903162,-48.5166106356083,-645.7503633522342,46.70094464265431,-365.4628206081303,262.7690399729805,-50.38670853888233,-452.4626092393395
1.0,-20.6680990603898,593.4250500488585,-48.174604128867585,93.12791980898021,43.391924156284574,-295.2746465948543,445.28902026680976,-50.19288139117776,-381.98567201535457
1.0,-21.509208902078473,597.1968113069399,-48.807690561999465,-437.02088703553335,44.26059060115484,-573.8227796868141,15.849998924254919,-49.29382033534012,191.80620828039366
1.0,-21.514617127111453,608.2822577895973,-48.810967517307084,-262.20629654838024,42.40936932178104,-609.0064385036158,245.15544101857222,-49.501486734877034,-59.18543094076864
1.0,-26.373520916790387,578.2963552713834,-47.777387205621544,-809.1130658113041,42.96335222165952,-559.4116730781877,-179.46777141162084,-49.53129165318224,286.25696794982184
1.0,-25.456953998823703,586.7804722174254,-46.642829378600865,-45.03156666401628,44.01118201569675,-384.56372518165557,94.88110771637372,-50.18093954424951,160.22152351959633
1.0,-22.40147979942809,575.9143378720923,-48.341307300856506,-381.599896933007,46.06123597250975,-228.99186629305802,298.8379005868728,-50.42448694787328,-449.75005167838026
1.0,-22.416847101693804,592.1114107955597,-49.19710915645573,89.34343037048075,40.70077942964968,-436.5863416149241,512.3805241067769,-51.88355605134407,-396.5697103416394
1.0,-18.760941771996894,576.8047030364972,-48.6411347798524,-715.667855909875,43.42290743790839,-471.8586256895718,856.2095293765842,-51.33936315193308,-1385.6383832931822
1.0,-22.970668228756878,598.8701431101289,-47.69805246405047,-386.0916889244226,52.79911791148374,-293.24759329116523,-74.37219883815433,-49.95734867950786,192.7807542048665
1.0,-19.824264849647296,606.6485899703491,-46.742031433356146,-719.3142919168619,38.031015431327354,-397.52520854813616,-148.68743290477673,-50.4242364920043,171.23268972227638
1.0,-18.49843291596212,570.7046210349985,-47.9699903130149,-355.87095911597333,40.63608947713893,-369.12416038275984,-25.430947736584358,-50.36180821583346,166.1880176969197
1.0,-23.26327597324328,597.0877218569675,-47.19813626329992,-435.6689928884793,41.44885918780248,-482.5546465479158,834.7294821065607,-51.16053945798319,-1190.0611328737245
1.0,-22.03692529386653,578.3116164024067,-46.92433209106464,-113.62121812742134,39.615254996033414,-540.7043370782583,658.2547115706,-49.202235916962096,-692.6351462666481
1.0,-21.65035331915596,593.2340863276494,-48.34683578102054,-843.8759758876448,50.35915396930016,-200.88285129833395,-196.48113162737963,-50.91297175352195,74.95744262545176
1.0,-22.169858996354915,599.0426074905184,-49.23939590684761,-567.3096827526272,40.23192741921934,-409.3019128707464,512.9651798777016,-50.15159052614259,-790.5028596586099
1.0,-23.994955516558118,580.1832034703997,-46.732518586086194,92.54116458647377,38.26536179214349,-157.1237311085688,-114.41797417827104,-51.45294679395487,433.3312540208594
1.0,-24.7845823875067,592.8188760143166,-47.82876674522779,-578.4292354594097,43.360975617603884,-282.8246604985539,369.6276137365086,-52.22204080486272,-639.0914019906581
1.0,-23.09895703524624,573.2283940142607,-47.71853256434341,-754.1214558970286,39.48731547294723,-606.0486073083317,384.6766800174397,-48.955825499513374,-562.6297888383604
1.0,-18.03678448684634,603.6704334460284,-47.21036530628277,-290.72876359376005,45.412264515006804,-544.6951080470576,510.3355293288852,-49.94991784234395,-550.6613952391281
1.0,-20.85710095882663,600.3596369656841,-47.44261241052582,-138.05250452533903,53.303940701932014,-410.5180578571681,873.6726114373398,-48.72433565497371,-1117.0663015423745
1.0,-22.37263107594196,589.2313707690116,-48.491663459094354,-600.1635561543064,48.10169817294758,-523.50370907059,658.7618709015551,-48.28501765130259,-961.3329609501955
1.0,-21.054069065830078,597.843704332708,-47.80346581967349,-455.51518510711566,51.80338322080879,-580.8059888851608,389.81203743740616,-49.89603516971446,-416.3397357488071
1.0,-22.678413389016438,605.1160577768115,-47.96534365062075,-412.20348703935883,44.75321484190782,-477.90567772284226,779.1446981666438,-50.42009362340125,-1083.140604366425
1.0,-20.925883696112137,593.1755113157482,-47.659126596665985,-581.9085880804696,47.05128432446584,-525.3600007598217,632.1219106519753,-50.44376905095102,-916.1381696020389
1.0,-26.73780990803748,570.2176681388828,-49.33092593041157,-624.9393942067504,40.045842533122496,-631.4727204580915,192.927000502768,-48.92312841707212,-160.1796519013546
1.0,-24.357070264614528,606.5647994134482,-46.47466158020363,-157.51183130171273,44.296598866984986,-620.1343778260393,140.90514153829542,-50.88368944845352,168.51349199661465
1.0,-23.218643325496217,587.9134953838762,-47.82811160734955,-128.28814225634528,48.987461114247324,-609.189211363819,376.2592932755954,-49.126281178287584,-192.9341232670578
1.0,-22.43005248032135,572.3745723632495,-48.68854586053167,-516.7592948739544,42.0876864366317,-475.10636770262954,722.4571105224113,-49.20759446517256,-1054.8591359569366
1.0,-20.74017809335196,591.5403496750798,-47.74645012353112,-568.7058267276186,36.899645862716355,-487.0701699706968,306.48200866119475,-51.04813746884002,-415.44886443833565
1.0,-23.453395798699013,599.3514515152724,-48.56189604823961,-683.1906276924136,43.871580301426505,-157.19167389277902,-185.44716632765986,-50.44493380890402,119.21895998063442
1.0,-23.43021556848584,609.5660310296488,-47.61960109313748,-57.102466517901235,45.4289579462099,-599.6231021554185,525.7040805780708,-51.67948136196759,-402.84053076713207
1.0,-23.641066129452973,575.6157477896334,-48.03945869672395,-636.1518921603669,41.13167098030505,-661.8525337546505,343.57636417333765,-50.41810323240348,-397.91802181641685
1.0,-19.82326582734045,578.4606674547806,-48.339029573394264,-419.32697712287376,40.866306665375795,-207.30119396714412,295.05241602529827,-50.137100642504066,-487.11307675740886
