X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y
1.0,-699.1617480080936,45.667946137121945,867.3422777513651,85.8181218931795,-11.0,603.5474665132624,743.446633439147,-316.0904280783755,25.03301138401357,64.77724750328383,-908.2878976882525
1.0,-872.8750747696683,47.19613738638417,771.9090475456147,86.16773064971824,-11.0,619.775985439482,-375.3407465527513,236.9949459609188,24.97253402517917,64.42110752121228,178.17117674390332
1.0,-449.2412608227851,46.937069283235175,883.4829232388664,85.95899152478209,-11.0,41.52364269715234,236.55079049202175,-545.8935786635865,27.234299131891085,66.1508790919957,-99.80026602574443
1.0,-648.7688915725954,47.70277063492026,876.4032982954004,85.95793587003898,-11.0,474.4559333652318,484.4646055332503,-511.67076824846293,18.594400993166,64.96946746177383,-512.920857180543
1.0,-485.71161297443103,47.40030111794542,778.2596050681965,86.31809526396468,-11.0,435.4737909119845,217.13146809205216,-443.8046191608579,32.65254365083891,64.80430151139164,-131.63828340637002
1.0,-659.8108336732193,46.89693186974888,827.6710060515081,86.16002519838598,-11.0,168.088383072622,259.97207292040855,-396.94627720015876,26.497770143552746,64.21520625971147,-278.5936296066554
1.0,-707.322029266861,48.395307918842086,729.2589595879044,85.86973772510547,-11.0,46.39113031688744,471.29569768705255,-470.5150755396635,25.080648444699364,64.9575557170731,-540.69037320846
1.0,-716.9364577317253,46.135812717127365,874.115995758331,85.8595432126967,-11.0,517.0857696144031,-680.1897057056959,-110.23749891332591,25.701893835416783,64.01575341059366,752.0128563289207
1.0,-463.0346258687762,46.567397005408544,824.3561665282807,86.19206093708827,-11.0,553.6154558844141,854.7049128046369,-15.495723618680586,27.822692543239228,67.28338532608582,-1057.306498248543
1.0,-575.1225193999217,46.70792058961722,799.7573264650443,86.25931374607188,-11.0,176.85826339508077,-260.06376426237307,-385.53099074542166,24.63573755468633,64.95311349431488,374.53409574430935
1.0,-652.2443011933553,47.50453885210178,763.5066350692466,85.72799561475195,-11.0,87.27595015822754,-497.09981395606457,-335.91840960345644,25.46202309522611,65.20837581965172,617.3283311365614
1.0,-389.1451804413572,46.180101596723084,849.0158585608107,86.41479907326178,-11.0,161.39195377739196,616.3371609030025,-151.9234843471504,25.79211080982226,65.87629991050017,-692.5714870463263
1.0,-690.895265054287,46.90932031515414,800.2879641697035,86.15200236333345,-11.0,593.7902123423888,283.7249333697596,159.8237618175691,23.153723482765677,67.04151088426464,-521.1454500730038
1.0,-487.5791278313657,48.08480702036724,646.9707449532839,86.6642248620013,-11.0,427.17824013546516,274.50531012267106,87.12791825647491,28.67727447379549,62.69947545930329,-422.9672077722967
1.0,-746.2425586180044,48.36244423980842,737.1195758975376,86.32564309891495,-11.0,240.8108831316938,744.7548745703998,-332.0347862006256,22.11141738931769,66.37278092969765,-939.3901686739797
1.0,-371.3694430512237,46.10756433685154,783.4944822502839,86.47588152960851,-11.0,668.219672505054,-74.34747828756554,-458.1912704347666,25.404985091639382,66.59470678667269,250.83725128580494
1.0,-770.2593264096248,46.90301367358851,808.6749417112533,85.96935275487658,-11.0,538.8158159981717,284.2051748347135,-491.8488598141802,24.63703838837632,64.70791804122074,-325.66955736657206
1.0,-505.33317663694277,47.62240036025449,733.380654929889,86.18245222505416,-11.0,60.18005613400392,175.6893994292999,-273.29214915264345,25.369447768836395,63.183871809182136,-177.02240688469047
1.0,-910.9070523929198,46.47170633357051,771.3849702563067,86.14434004487453,-11.0,382.0211258630356,-454.2776735679579,-283.25699553832646,23.16764512880255,63.80819323040537,435.95384618378114
1.0,-732.7379246098626,47.605605620966216,745.3778655374404,86.25990531517905,-11.0,63.458341586441364,344.8295258650362,-65.04479221523911,22.732597462209405,65.04037708356253,-547.9181566585487
