X0,X1,X2,X3,X4,X5,Y
1.0,-96.54623902283474,-94.86031781549036,653.7804399148063,-47.02571944830374,-68.26117737157419,249.9549223779605
1.0,-94.75901038464194,-7.3216882879698915,575.5764561846986,-47.57334252693105,-56.57079555138523,143.46712487368762
1.0,-88.89895373010933,-596.2085702161504,631.5420147720189,-46.13513730353368,-68.54918979974167,715.8521096880394
1.0,-92.1637967928499,50.84496117952165,646.26880260922,-46.132833013786545,-61.44441110641413,116.58351630666219
1.0,-97.92477908454977,-432.10685148415325,620.7950692094003,-47.04787970691202,-68.72482071657278,562.4740076926901
1.0,-89.96807291365748,-50.88321335418175,644.5600399841616,-47.20701053381062,-66.90520754525787,210.74325515548853
1.0,-94.90862229597398,-64.43460844254685,604.2662840532165,-47.205931797710605,-66.57028706001068,209.13833350021628
1.0,-91.76461442412996,-357.10452185180213,578.7219632099385,-47.31123917386507,-66.62832832630993,477.40335448194065
1.0,-92.01759501472024,-579.4546030999286,614.9034346202471,-47.03625396436065,-68.70255625864675,695.372306665483
1.0,-91.21006818558985,-553.9533866190104,631.2938008121254,-47.578256684258136,-65.07919507833613,684.688758994102
1.0,-94.75363475417554,125.08335085872432,566.3950343985382,-47.32861067747627,-69.0885344366364,18.02299628548687
1.0,-92.81027826023809,65.83581786868308,660.8634152767294,-47.00798250192198,-64.44091664458269,105.0700009266349
1.0,-90.1308634234865,-533.2943011541029,641.5060341709309,-47.864167277610605,-62.23092918225113,658.7544507605479
1.0,-89.30622262178234,-375.3370056453747,630.1258254831346,-47.23535835236509,-70.11272585908054,511.9125225243107
1.0,-88.8072463020808,-154.43396101519966,629.6092125428266,-47.93358124753002,-66.38124185621878,308.9838613963749
1.0,-100.67071730497692,-104.35624955896401,651.243406908075,-46.58068512110604,-64.54796590836,262.5835507718062
1.0,-81.80912106594646,-58.795025158647604,650.1285075548479,-47.435665730854964,-70.11287506799795,226.72925506328428
1.0,-94.21469961612358,-520.5714839031834,597.934451914352,-47.78036054608302,-65.23694192051207,630.463938857878
1.0,-99.82666071383194,-21.537367746718928,661.4033806815874,-47.04229051233104,-69.60830188397016,186.24385111213553
1.0,-91.37822170023192,-114.19833511275499,573.3302012542359,-47.318477755628,-66.81550494322437,242.90442719608583
1.0,-91.98350402086305,-39.665817303853146,664.6689507110025,-47.1783925106895,-65.26666641252164,208.07529810719805
1.0,-92.26215170593241,-110.4805489134477,633.7040538307758,-47.1322458699119,-68.77567966985092,267.88016614489754
1.0,-95.55154659850072,-60.10922792829115,627.3513571682862,-46.425116668024415,-65.9440747603997,212.2060248811552
1.0,-90.1096870354425,-396.02108845540744,616.5761192412929,-46.69276960155627,-65.01773076942375,523.0538594855029
1.0,-96.28087722092307,-346.7225033245607,639.8382131480141,-46.47965574368827,-69.3905953169027,481.87468078612505
1.0,-92.83476304107401,-566.4697761608315,601.7919441085457,-46.6090540376004,-67.30708299288659,679.6976604578696
1.0,-91.72709233377837,-387.50676564410617,566.2648942764239,-46.55531780384678,-69.1382582025569,500.3871347291858
1.0,-93.62554133899364,-336.0234440986131,586.2837009271217,-47.09288742915912,-66.64935388832895,451.66231651070444
1.0,-96.59140692616262,-213.47676943713714,566.8391698002189,-47.27859393665374,-68.74794338611291,336.0917743564209
1.0,-90.66927134152749,-29.106990283005644,666.8240746012285,-47.268531495083366,-64.53642267520999,202.2863886505176
1.0,-95.60438985821462,-632.2983546327856,595.8579657847127,-47.18109247125697,-73.00139246463827,733.8442795253293
1.0,-93.17714051148018,-31.387009592610752,581.8803095098621,-46.304976136555446,-61.42620949992549,165.30633644472175
1.0,-89.57168196070236,-560.8376675398557,588.7979583121478,-47.126039706124985,-67.14545255858243,663.4462902255767
1.0,-95.93283731807244,9.471660279120897,586.1183015530978,-46.52658429194102,-70.98552646649097,132.76738262636377
