X0,X1,X2,X3,X4,X5,X6,X7,X8,Y
1.0,44.932124112062766,-81.55798600190795,410.4127434793273,-168.08766808896814,-1.1005131054415478,383.69096837588313,82.5934732209897,622.2000210223293,-505.24082403663004
1.0,45.309822563619996,-84.88161178502548,141.3007257285123,-290.84620893021344,-1.1865916189045609,330.91000682172177,80.63629663012345,674.9549109126926,-1004.7334201256665
1.0,44.497553063386825,-86.07251582887993,965.3946413820756,-477.27481538703057,-1.3894720379458683,544.111767015085,78.19727098079127,411.9818266311945,900.6384126702837
1.0,45.07530219664117,-83.43461767282824,850.744133825173,-492.8173151094941,-0.3797903555143821,595.3514821082748,81.23501672153688,579.0359178177505,433.7661412676927
1.0,44.97064540013519,-80.65943355588185,694.2615635934156,-349.69730413653525,-1.1424051032965872,423.20603564663185,78.65974733514929,432.53357378939177,365.1010998581167
1.0,44.49761304970767,-81.2658586562219,292.0852853709115,51.51652997465828,-0.8976450932677524,615.9157690624028,76.49926029776303,-320.6966175507098,799.0498929188175
1.0,44.73600538294191,-79.42584844603549,895.5559089257297,311.7603879960077,-0.9711652401023294,606.1770541131851,86.10458383334503,-129.87579701313888,1418.896687913004
1.0,45.08480144105307,-78.98531481149747,927.89841601061,-287.27038137700333,-1.0842295719823773,422.64154426137486,78.36005006110435,119.26539365883264,1264.8163107418852
1.0,44.7958124945456,-82.65527533461027,473.46767724700834,36.33218243307408,-0.9271185790711832,485.24731190112686,87.91682278365802,-239.74011286251272,953.1427785475626
1.0,45.09120844966752,-85.37503799821565,84.32021603033589,135.19106536836193,-0.5585932150885227,408.27004655646977,85.99561146506989,-221.22242971343144,226.82694856137599
1.0,44.790568664492255,-86.66907247415824,570.6490483396058,-243.11608962780275,-0.9161261767945375,542.1652630554396,90.62280894020557,330.25573208652986,265.30636338989564
1.0,45.23934797245364,-78.94233625734583,775.7307959957479,-419.9633444974453,-0.6114721376446048,445.8482022456899,76.22790816906982,167.59267798426697,975.8534739002303
1.0,45.031286848465164,-85.26593510493323,937.3346495106207,-417.3355883574342,-0.9229352071554956,572.8638098436431,81.8197512690873,683.7784146538643,386.9120964419635
