X0,X1
-59.07222987465097,-39.37130265212106
70.84563398178032,-79.17359445928804
-58.47918370104331,-38.77007504528237
-58.83132997271319,-38.54988373700808
22.74853789652241,-46.80658159906236
23.392660025273464,-44.383102553632135
29.257994290598727,-48.43399036766667
69.23175486973929,-75.65259654601351
74.95652907189377,-79.73029717170094
62.63761022676446,-75.36134271162126
62.28150879155489,-80.59317360346027
35.05415960262201,-67.73439340485439
66.94983459599692,-77.00045528933938
67.82500419625953,-74.10020299935347
-57.88913988708618,-38.634118550039275
-58.29076564329812,-38.941504120846176
26.43613145002531,-49.17966027650862
61.95161445762596,-77.9845194174328
23.68511401955951,-86.86112835304444
-58.7661171225694,-36.42536944531401
-59.473694841952415,-37.71106478322328
21.933476306554656,-46.94429560283925
34.073213155161085,-86.1414734592551
69.49380464672312,-77.82374586712966
-58.92326466610341,-37.30694552982337
48.27817592902936,-72.6736641578333
17.559232191009286,-43.612867737430705
-58.57281356026519,-39.269128295485835
28.603375353613323,-93.17496420469581
33.51433213499416,-49.34588430620811
-58.22323589979507,-38.23317082135556
29.202211875054264,-93.27244035515957
57.2520317665421,-79.75167540435346
-58.28970387411114,-37.88708005900951
26.541440822121782,-43.84617692935948
28.167514707703802,-47.835039399098285
69.97106921130032,-76.67441390570268
26.23974016763623,-44.06569436055806
37.94779680628519,-94.47058461587753
69.3650832052262,-77.02302780184635
60.97356954727331,-77.77168429524599
33.29122946796699,-79.94953396785453
-58.47510332611414,-39.123985195669086
21.435626989592006,-44.0363585426362
-60.14485901317119,-38.086140061200716
36.5192615712695,-92.41098303425149
60.84019149628204,-86.78340568457575
23.297550255209792,-49.95019030472225
24.43269112642256,-44.56002493784567
28.891120746860988,-48.37797485637161
24.79284267454507,-69.76636830464908
45.64073645059506,-70.55891110341355
-59.21446067655525,-37.502650095071296
22.106854069870298,-43.229096801345705
68.33948192647492,-78.10452713960674
63.21586495902575,-76.07589368428326
66.61640086875698,-77.930177331206
-58.22702772796849,-37.77660450785231
-56.4532640060026,-36.693249373635396
-59.0574261940866,-37.09393272428823
-59.20489126665213,-38.39040847405371
64.53248933850676,-78.50431574754205
-58.81531836159315,-38.54563813244263
24.65171793797266,-81.2577391106291
33.18415760372565,-40.784622231573636
7.07909921394932,-92.33451960178367
59.862819248538614,-84.69175046602322
-58.25396980591084,-37.4273849522441
-58.98985699112787,-37.35479998181178
19.68229015853381,-46.35181090391672
-58.689476401843116,-37.64405426450305
23.30070806712026,-42.775998796729525
60.712137866588506,-78.58963580765476
37.84214716632646,-78.85656530673695
-58.21182364146586,-37.974624119142916
49.33053036597377,-99.9484175470725
-58.350205892648965,-37.14411667524668
22.857532483373056,-48.1197428459115
28.932737031428395,-44.51525206335788
-58.684376546847,-38.364961946018184
19.71714282905696,-44.83624790773509
29.963071358700997,-42.657473584764965
-57.32310058900118,-37.34542550817165
55.14758228790644,-73.99088504704879
30.172469923558772,-40.19015029074175
61.93616629720209,-81.823146992395
-58.58838931094059,-37.84394500368202
22.56072852729835,-43.79367812891778
-59.83680653723105,-38.60515193080702
26.393673258754944,-41.91289498900768
62.573483354794384,-77.59345979374699
52.7609124417517,-72.03268228305063
62.633271683279716,-78.83779232259904
21.761625841800573,-49.904323888075844
22.997125823888613,-71.37614228187695
-58.177734688697754,-39.2346522186475
28.926978638994356,-50.336071670775155
64.55971044333941,-79.56340321921587
-58.373625879566255,-38.24791029747022
-58.628146295009174,-38.94692155708038
63.50630744318463,-73.80604957451274
67.7140909659853,-70.87324165721984
63.371398295046035,-79.9483830825099
68.27310785293814,-78.7613408768985
57.50263667143448,-73.7703660505108
61.19657751566519,-75.92499090204099
44.746750212753895,-87.72117708668512
25.971375018903107,-45.2039360711277
59.377390849669766,-81.2476266721565
66.2426512826371,-78.3271264909552
36.300895468410545,-75.88947997917717
65.31929776591448,-72.97386058038282
68.50739152767656,-77.86720443618255
